"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
5.7,3.10194466644467,4.2762361022311,1.32523624264624,"versicolor"
6.1,2.84924173881674,4.60143199823053,1.36976758545548,"versicolor"
6.5,3.00025308913309,5.27280724251117,1.99594436618936,"virginica"
6.5,3.00025308913309,5.27280724251117,1.99594436618936,"virginica"
4.6,3.31105412698412,1.57987111111111,0.282892796092796,"setosa"
6.4,2.96047056943057,5.18172548759942,1.99557948107448,"virginica"
6.2,2.84759767676768,4.74334553358406,1.44887002745792,"versicolor"
6.1,2.84924173881674,4.60143199823053,1.36976758545548,"versicolor"
5.2,3.45822752525253,1.47656601010101,0.224668065545567,"setosa"
5,3.12270683383782,1.5973760003885,0.264403677988679,"setosa"
5.4,3.54983930846931,1.53391667388167,0.276508859196359,"setosa"
5.4,3.54983930846931,1.53391667388167,0.276508859196359,"setosa"
5,3.12270683383782,1.5973760003885,0.264403677988679,"setosa"
6.6,2.95713238095239,4.94213121798016,1.67788462537462,"versicolor"
7.1,3.09243597402598,5.50811383366634,2.02020053302906,"virginica"
5.1,3.47715203046953,1.44829607670107,0.250137316017316,"setosa"
5.1,3.47715203046953,1.44829607670107,0.250137316017316,"setosa"
5.8,2.88022376096127,4.51145646409145,1.39532457153957,"versicolor"
6.9,3.12128306637806,5.10875846570097,2.08254738728591,"virginica"
5.4,3.54983930846931,1.53391667388167,0.276508859196359,"setosa"
7.9,3.47344396825395,5.60243521645021,2.13787,"virginica"
5.9,3.05369437950938,4.74924303640804,1.53370941724942,"versicolor"
6.5,3.00025308913309,5.27280724251117,1.99594436618936,"virginica"
6.3,2.85563291847042,4.96198081474081,1.71112824675325,"virginica"
6.1,2.84924173881674,4.60143199823053,1.36976758545548,"versicolor"
5.1,3.47715203046953,1.44829607670107,0.250137316017316,"setosa"
6.5,3.00025308913309,5.27280724251117,1.99594436618936,"virginica"
5.3,3.6191815873016,1.49615158730158,0.230829335386836,"setosa"
5.1,3.47715203046953,1.44829607670107,0.250137316017316,"setosa"
4.8,3.17576713564214,1.55095240595366,0.2117430991231,"setosa"
7.7,3.0580007936508,5.99965526223776,2.06599917915417,"virginica"
6.9,3.12128306637806,5.10875846570097,2.08254738728591,"virginica"
4.6,3.31105412698412,1.57987111111111,0.282892796092796,"setosa"
6.2,2.84759767676768,4.74334553358406,1.44887002745792,"versicolor"
6.3,2.85563291847042,4.96198081474081,1.71112824675325,"virginica"
5,3.12270683383782,1.5973760003885,0.264403677988679,"setosa"
4.8,3.17576713564214,1.55095240595366,0.2117430991231,"setosa"
5,3.12270683383782,1.5973760003885,0.264403677988679,"setosa"
4.9,2.96184191419691,1.67935576443134,0.246389523809525,"setosa"
6.1,2.84924173881674,4.60143199823053,1.36976758545548,"versicolor"
6.3,2.85563291847042,4.96198081474081,1.71112824675325,"virginica"
5,3.12270683383782,1.5973760003885,0.264403677988679,"setosa"
6,2.73467609196359,4.85385804251303,1.69146317460317,"versicolor"
6.9,3.12128306637806,5.10875846570097,2.08254738728591,"virginica"
5.7,3.10194466644467,4.2762361022311,1.32523624264624,"versicolor"
5.1,3.47715203046953,1.44829607670107,0.250137316017316,"setosa"
6.4,2.96047056943057,5.18172548759942,1.99557948107448,"virginica"
6.2,2.84759767676768,4.74334553358406,1.44887002745792,"versicolor"
6.3,2.85563291847042,4.96198081474081,1.71112824675325,"virginica"
5.6,2.81578564130314,4.41682385526239,1.37054422659212,"versicolor"
6.7,3.05221419715905,4.9700310908536,1.75313696160049,"virginica"
4.6,3.31105412698412,1.57987111111111,0.282892796092796,"setosa"
6.7,3.05221419715905,4.9700310908536,1.75313696160049,"virginica"
7.3,3.0089226984127,5.98458418320293,1.94041981795982,"virginica"
4.4,2.94216325396825,1.54318951159951,0.216159746642248,"setosa"
5.7,3.10194466644467,4.2762361022311,1.32523624264624,"versicolor"
6.4,2.96047056943057,5.18172548759942,1.99557948107448,"virginica"
6.9,3.12128306637806,5.10875846570097,2.08254738728591,"virginica"
6.5,3.00025308913309,5.27280724251117,1.99594436618936,"virginica"
5.2,3.45822752525253,1.47656601010101,0.224668065545567,"setosa"
6.7,3.05221419715905,4.9700310908536,1.75313696160049,"virginica"
5.7,3.10194466644467,4.2762361022311,1.32523624264624,"versicolor"
6.4,2.96047056943057,5.18172548759942,1.99557948107448,"virginica"
6.9,3.12128306637806,5.10875846570097,2.08254738728591,"virginica"
6.1,2.84924173881674,4.60143199823053,1.36976758545548,"versicolor"
5.6,2.81578564130314,4.41682385526239,1.37054422659212,"versicolor"
6.7,3.05221419715905,4.9700310908536,1.75313696160049,"virginica"
5.6,2.81578564130314,4.41682385526239,1.37054422659212,"versicolor"
4.6,3.31105412698412,1.57987111111111,0.282892796092796,"setosa"
6.3,2.85563291847042,4.96198081474081,1.71112824675325,"virginica"
